NAME_PY;NAME_CH;NAME_FT;X_COOR;Y_COOR;PRES_LOC;TYPE_PY;TYPE_CH;LEV_RANK;勘誤;BEG_YR;BEG_RULE;END_YR;END_RULE;NOTE_ID;OBJ_TYPE;SYS_ID;GEO_SRC;COMPILER;GEOCOMPLR;CHECKER;END_DATE;BEG_CHG_TY;END_CHG_TY
Waihuang Xian;外黄县;外黃縣;114.96721;34.75629;今河南民权西北内黄集;Xian;县;6;正確;-221;;498;;44335;POINT;44335;FROM_FD;;;;;新建;撤销
Xiaohuang Xian;小黄县;小黃縣;114.47829;34.78681;今河南开封县北小黄集;Xian;县;6;正確;-221;;446;;44337;POINT;44337;FROM_FD;;;;;新建;撤销
Yu Xian;圉县;圉縣;114.70449;34.33805;今河南杞县南圉（于）镇镇;Xian;县;6;正確;-202;;13;;44340;POINT;44340;FROM_FD;;;;;新建;更名
Yisui Xian;益岁县;益歲縣;114.70449;34.33805;今河南杞县南圉（于）镇镇;Xian;县;6;正確;14;;21;;44341;POINT;44341;FROM_FD;;;;;更名;更名
Yu Xian;圉县;圉縣;114.70449;34.33805;今河南杞县南圉（于）镇镇;Xian;县;6;正確;22;;272;;44342;POINT;44342;FROM_FD;;;;;更名;撤销
Yanling Xian;傿陵县;傿陵縣;114.17869;34.18715;今河南鄢陵县西北古城;Xian;县;6;正確;-202;;-196;;44348;POINT;44348;FROM_FD;;;;;新建;更名
Yanling Houguo;傿陵侯国;傿陵侯國;114.17869;34.18715;今河南鄢陵县西北古城;Houguo;侯国;6;正確;-195;;-174;;44349;POINT;44349;FROM_FD;;;;;更名;更名
Yanling Xian;傿陵县;傿陵縣;114.17869;34.18715;今河南鄢陵县西北古城;Xian;县;6;正確;-174;;13;;44350;POINT;44350;FROM_FD;;;;;更名;更名
Zuoting Xian;左亭县;左亭縣;114.17869;34.18715;今河南鄢陵县西北古城;Xian;县;6;正確;14;;21;;44351;POINT;44351;FROM_FD;;;;;更名;更名
Yanling Xian;鄢陵县;鄢陵縣;114.17869;34.18715;今河南鄢陵县西北古城;Xian;县;6;正確;22;;215;;44352;POINT;44352;FROM_FD;;;;;更名;更名
Zhongmou Xian;中牟县;中牟縣;114.05869;34.73158;今河南中牟县东六里;Xian;县;6;正確;-205;;446;;44356;POINT;44356;FROM_FD;;;;;新建;撤销
Donghun Xian;东昏县;東昏縣;114.85936;34.92438;今河南兰考县东北樊寨南;Xian;县;6;正確;-122;;13;;44365;POINT;44365;FROM_FD;;;;;新建;更名
Dongming Xian;东明县;東明縣;114.85936;34.92438;今河南兰考县东北樊寨南;Xian;县;6;正確;14;;21;;44366;POINT;44366;FROM_FD;;;;;更名;更名
Donghun Xian;东昏县;東昏縣;114.85936;34.92438;今河南兰考县东北樊寨南;Xian;县;6;正確;22;;212;;44367;POINT;44367;FROM_FD;;;;;更名;撤销
Jiyang Xian;济阳县;濟陽縣;114.95262;34.96236;今河南兰考县东北堌阳镇;Xian;县;6;正確;-221;;13;;44377;POINT;44377;FROM_FD;;;;;新建;更名
Jiqian Xian;济前县;濟前縣;114.95262;34.96236;今河南兰考县东北堌阳镇;Xian;县;6;正確;14;;21;;44378;POINT;44378;FROM_FD;;;;;更名;更名
Jiyang Xian;济阳县;濟陽縣;114.95262;34.96236;今河南兰考县东北堌阳镇;Xian;县;6;正確;22;;626;;44379;POINT;44379;FROM_FD;;;;;更名;撤销
Jing Xian;京县;京縣;113.43846;34.71545;今河南荥阳东南京襄城;Xian;县;6;正確;-221;;555;;44384;POINT;44384;FROM_FD;;;;;新建;撤销
Yang Xian;荥阳县;滎陽縣;113.53442;34.87436;今河南郑州市西北古荥镇;Xian;县;6;正確;-221;;492;;44385;POINT;44385;FROM_FD;;;;;新建;迁移治所
Junyi Xian;浚仪县;浚儀縣;114.34333;34.78548;今河南开封市;Xian;县;6;正確;-137;;493;;44392;POINT;44392;FROM_FD;;;;;新建;撤销
Daliang Xian;大梁县;大樑縣;114.34333;34.78548;今河南开封市;Xian;县;6;正確;-225;;-138;;44393;POINT;44393;FROM_FD;;;;;新建;更名
Hu Xian;胡县;胡縣;110.54166;34.55467;今河南灵宝西;Xian;县;6;正確;-206;;-141;;70627;POINT;70627;FROM_FD;;;;;;胡县
Hu Xian;湖县;湖縣;110.54166;34.55467;今河南灵宝西;Xian;县;6;正確;-140;;316;;70628;POINT;70628;FROM_FD;;;;;;湖县
Chen Xian;陈县;陳縣;114.88245;33.73398;今河南淮阳;Xian;县;6;正確;-479;;13;;82001;POINT;82001;FROM_FD;;;;;;
Chenling Xian;陈陵县;陳陵縣;114.88245;33.73398;今河南淮阳;Xian;县;6;正確;14;;22;;82002;POINT;82002;FROM_FD;;;;;;
Chen Xian;陈县;陳縣;114.88245;33.73398;今河南淮阳;Xian;县;6;正確;23;;423;;82003;POINT;82003;FROM_FD;;;;;;
Gushi Xian;固始县;固始縣;114.76242;33.80199;今河南淮阳西北柳林;Xian;县;6;正確;-202;;29;;82007;POINT;82007;FROM_FD;;;;;;
Xinping Xian;新平县;新平縣;114.95606;33.82343;今河南淮阳东北临蔡镇;Xian;县;6;正確;-202;;265;;82008;POINT;82008;FROM_FD;;;;;;
Ruyang Xian;女阳县;女陽縣;114.46083;33.59461;今河南商水西北张庄乡城上;Xian;县;6;正確;-202;;24;;82014;POINT;82014;FROM_FD;;;;;;
Ruyang Xian;汝阳县;汝陽縣;114.46083;33.59461;今河南商水西北张庄乡城上;Xian;县;6;正確;25;;605;;82015;POINT;82015;FROM_FD;;;;;;
Boyang Xian;博阳县;博陽縣;114.73217;33.57854;今河南商水东北颍河南岸;Xian;县;6;正確;-202;;62;;82016;POINT;82016;FROM_FD;;;;;;
Boyang Houguo;博阳侯国;博陽侯國;114.73217;33.57854;今河南商水东北颍河南岸;Guo;国;6;正確;-63;;13;;82017;POINT;82017;FROM_FD;;;;;;
Lejia Houguo;乐嘉侯国;樂嘉侯國;114.73217;33.57854;今河南商水东北颍河南岸;Guo;国;6;正確;14;;22;;82018;POINT;82018;FROM_FD;;;;;;
Boyang Xian;博阳县;博陽縣;114.73217;33.57854;今河南商水东北颍河南岸;Xian;县;6;正確;23;;29;;82019;POINT;82019;FROM_FD;;;;;;
Xihua Xian;西华县;西華縣;114.35185;33.68238;今河南西华西南后习阳南颍河南岸;Xian;县;6;正確;-202;;13;;82020;POINT;82020;FROM_FD;;;;;;
Huawang Xian;华望县;華望縣;114.35185;33.68238;今河南西华西南后习阳南颍河南岸;Xian;县;6;正確;14;;22;;82021;POINT;82021;FROM_FD;;;;;;
